"champ";"statut";"annee";"periode";"date du resultat";"ipe";cage;nbh;nbf;nb;pcth;pctf;pct;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 16:39:52";="620027839";4;3356;4832;8188;30.30795629;43.669227293;36.986177613;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/29 16:39:52";="620027839";5;7234;5625;12859;65.330082182;50.835969272;58.085644593;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/29 16:39:52";="620027839";6;472;608;1080;4.2626207893;5.4948034343;4.8784894751;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/30 08:35:18";="590780284";1;1;;1;0.012025012;;0.0060481432;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:18";="590780284";2;8;4;12;0.0962000962;0.0486736432;0.0725777186;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:18";="590780284";3;96;79;175;1.1544011544;0.9613044536;1.0584250635;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:18";="590780284";4;4079;3982;8061;49.05002405;48.454611828;48.754082497;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:18";="590780284";5;3453;2813;6266;41.522366522;34.229739596;37.897665417;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:18";="590780284";6;679;1340;2019;8.164983165;16.305670479;12.211201161;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:42:22";="020000287";0;145;135;280;5.624515128;4.4437129691;4.9857549858;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:22";="020000287";2;32;1;33;1.2412723041;0.0329163924;0.5876068376;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:22";="020000287";3;24;26;50;0.9309542281;0.8558262014;0.8903133903;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:22";="020000287";4;846;1422;2268;32.81613654;46.807109941;40.384615385;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:22";="020000287";5;1282;993;2275;49.728471683;32.685977617;40.509259259;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:22";="020000287";6;249;461;710;9.6586501164;15.17445688;12.642450142;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 10:32:19";="590797353";0;631;573;1204;4.5539838337;3.4584741671;3.957402051;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:19";="590797353";1;382;299;681;2.7569284065;1.8046837277;2.2383644491;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:19";="590797353";2;2266;1586;3852;16.353926097;9.5726702076;12.66105706;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:19";="590797353";3;1451;1786;3237;10.471997691;10.779816514;10.639626611;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:19";="590797353";4;5238;7806;13044;37.803117783;47.114920328;42.874046805;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:19";="590797353";5;3294;3371;6665;23.773094688;20.34645099;21.907047068;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:19";="590797353";6;594;1147;1741;4.2869515012;6.9229840657;5.7224559558;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 11:28:58";="590782421";0;1001;871;1872;4.9427217065;3.7399630727;4.2993959716;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:28:58";="590782421";1;318;291;609;1.5702152874;1.2495169393;1.3986817023;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:28:58";="590782421";2;1177;955;2132;5.8117716769;4.1006483748;4.896534301;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:28:58";="590782421";3;684;755;1439;3.377444203;3.241873846;3.3049309846;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:28:58";="590782421";4;8799;11192;19991;43.447560735;48.057022629;45.913047472;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:28:58";="590782421";5;7190;7027;14217;35.502666403;30.173043068;32.651983188;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:28:58";="590782421";6;1083;2198;3281;5.3476199881;9.4379320709;7.5354263797;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 12:11:21";="800000051";4;139;105;244;53.875968992;37.906137184;45.607476636;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:11:21";="800000051";5;95;94;189;36.821705426;33.935018051;35.327102804;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:11:21";="800000051";6;24;78;102;9.3023255814;28.158844765;19.065420561;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 13:41:52";="800000135";4;29;9;38;32.222222222;9;20;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 13:41:52";="800000135";5;42;40;82;46.666666667;40;43.157894737;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 13:41:52";="800000135";6;19;51;70;21.111111111;51;36.842105263;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 14:10:56";="590782165";0;254;240;494;5.0973309251;3.6270213088;4.2586206897;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:10:56";="590782165";2;92;46;138;1.846277343;0.6951790842;1.1896551724;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:10:56";="590782165";3;169;285;454;3.3915312061;4.3070878041;3.9137931034;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:10:56";="590782165";4;2424;3606;6030;48.645394341;54.495995164;51.982758621;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:10:56";="590782165";5;1740;1714;3454;34.91872366;25.90297718;29.775862069;2023.7;X590782165;30AUG23;14:10:49
