"champ";"statut";"annee";"periode";"date du resultat";"ipe";cretc;COUNT;PERCENT;pctcum;effcum;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/01 08:07:03";="020000071";200000000;1;0.4424778761;99.557522124;225;2023.7;X020000071;01SEP23;8:06:20
"mco";"dgf";"2023";"7";"2023/09/01 08:07:03";="020000071";999910011;1;0.4424778761;100;226;2023.7;X020000071;01SEP23;8:06:20
"mco";"dgf";"2023";"7";"2023/09/01 09:19:15";="600100721";000000000;20842;99.784554986;99.784554986;20842;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 09:19:15";="600100721";200000000;44;0.2106573467;99.995212333;20886;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 09:19:15";="600100721";999910011;1;0.004787667;100;20887;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 12:16:11";="620100057";000000000;28169;93.019185682;93.019185682;28169;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:11";="620100057";000000010;28;0.0924611168;93.111646799;28197;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:11";="620100057";200000000;2086;6.8883532015;100;30283;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:22:50";="600101984";000000000;32126;99.044271797;99.044271797;32126;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:22:50";="600101984";000000010;155;0.4778641016;99.522135898;32281;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:22:50";="600101984";200000000;142;0.437785177;99.959921075;32423;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:22:50";="600101984";200000010;1;0.0030829942;99.96300407;32424;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:22:50";="600101984";999910011;12;0.0369959304;100;32436;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 13:08:23";="800000028";000000000;15738;99.702248971;99.702248971;15738;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 13:08:23";="800000028";000000010;9;0.0570161546;99.759265125;15747;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 13:08:23";="800000028";200000000;34;0.2153943617;99.974659487;15781;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 13:08:23";="800000028";999910011;4;0.0253405131;100;15785;2023.7;X800000028;01SEP23;13:07:27
