"champ";"statut";"annee";"periode";"date du resultat";"ipe";type_test;code;code_c;nbtot;i;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/31 14:04:27";="800000135";1;INF-C;INF;29;2;2023.7;X800000135;31AUG23;14:04:25
"mco";"dgf";"2023";"7";"2023/08/31 14:04:27";="800000135";1;INF-CF;INF;7;2;2023.7;X800000135;31AUG23;14:04:25
"mco";"dgf";"2023";"7";"2023/08/31 15:03:48";="800000093";1;INF-I;INF;188;2;2023.7;X800000093;31AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/31 15:03:48";="800000093";1;INF-IF;INF;15;2;2023.7;X800000093;31AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/31 15:03:48";="800000093";1;INF-IN;INF;53;2;2023.7;X800000093;31AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/31 15:03:48";="800000093";2;INF-I;INF;623;2;2023.7;X800000093;31AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/31 15:03:48";="800000093";2;INF-IF;INF;46;2;2023.7;X800000093;31AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/31 15:03:48";="800000093";2;INF-IN;INF;131;2;2023.7;X800000093;31AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/31 15:06:39";="590781811";1;INF-I;INF;87;2;2023.7;X590781811;31AUG23;15:06:37
"mco";"dgf";"2023";"7";"2023/08/31 15:06:39";="590781811";1;PCR;PCR;87;2;2023.7;X590781811;31AUG23;15:06:37
"mco";"dgf";"2023";"7";"2023/08/31 15:06:39";="590781811";1;PRA;PRA;87;2;2023.7;X590781811;31AUG23;15:06:37
"mco";"dgf";"2023";"7";"2023/08/31 16:02:11";="590783239";1;INF-I;INF;2940;2;2023.7;X590783239;31AUG23;16:02:09
"mco";"dgf";"2023";"7";"2023/08/31 16:02:11";="590783239";1;PCR;PCR;2940;2;2023.7;X590783239;31AUG23;16:02:09
"mco";"dgf";"2023";"7";"2023/08/31 16:02:11";="590783239";1;PRA;PRA;2941;2;2023.7;X590783239;31AUG23;16:02:09
