"champ";"statut";"annee";"periode";"date du resultat";"ipe";lib;nb;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/31 11:13:43";="800000085";Nombre RSA avec Diags avec antécédents de covid-19;0;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:13:43";="800000085";Nombre RSA correctement chainés;0;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:13:43";="800000085";Nombre RSA groupés en CM 90;0;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:48:33";="590780193";Nombre RSA avec Diags avec antécédents de covid-19;1262;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:48:33";="590780193";Nombre RSA correctement chainés;1256;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:48:33";="590780193";Nombre RSA groupés en CM 90;5;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 12:25:36";="020004404";Nombre RSA avec Diags avec antécédents de covid-19;15;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:25:36";="020004404";Nombre RSA correctement chainés;14;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:25:36";="020004404";Nombre RSA groupés en CM 90;0;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 14:25:57";="590781605";Nombre RSA avec Diags avec antécédents de covid-19;51;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:25:57";="590781605";Nombre RSA correctement chainés;50;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:25:57";="590781605";Nombre RSA groupés en CM 90;0;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:29:22";="590781811";Nombre RSA avec Diags avec antécédents de covid-19;0;2023.7;X590781811;31AUG23;14:28:53
"mco";"dgf";"2023";"7";"2023/08/31 14:29:22";="590781811";Nombre RSA correctement chainés;0;2023.7;X590781811;31AUG23;14:28:53
"mco";"dgf";"2023";"7";"2023/08/31 14:29:22";="590781811";Nombre RSA groupés en CM 90;0;2023.7;X590781811;31AUG23;14:28:53
"mco";"dgf";"2023";"7";"2023/08/31 14:33:59";="800000093";Nombre RSA avec Diags avec antécédents de covid-19;58;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:33:59";="800000093";Nombre RSA correctement chainés;57;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:33:59";="800000093";Nombre RSA groupés en CM 90;0;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:53:02";="600100713";Nombre RSA avec Diags avec antécédents de covid-19;121;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:53:02";="600100713";Nombre RSA correctement chainés;121;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:53:02";="600100713";Nombre RSA groupés en CM 90;0;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:59:45";="020000048";Nombre RSA avec Diags avec antécédents de covid-19;21;2023.7;X020000048;31AUG23;14:59:10
"mco";"dgf";"2023";"7";"2023/08/31 14:59:45";="020000048";Nombre RSA correctement chainés;20;2023.7;X020000048;31AUG23;14:59:10
"mco";"dgf";"2023";"7";"2023/08/31 14:59:45";="020000048";Nombre RSA groupés en CM 90;0;2023.7;X020000048;31AUG23;14:59:10
"mco";"dgf";"2023";"7";"2023/08/31 15:43:30";="590782215";Nombre RSA avec Diags avec antécédents de covid-19;201;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:43:30";="590782215";Nombre RSA correctement chainés;200;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:43:30";="590782215";Nombre RSA groupés en CM 90;0;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 16:59:08";="620100685";Nombre RSA avec Diags avec antécédents de covid-19;33;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 16:59:08";="620100685";Nombre RSA correctement chainés;33;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 16:59:08";="620100685";Nombre RSA groupés en CM 90;0;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 18:53:58";="800000069";Nombre RSA avec Diags avec antécédents de covid-19;68;2023.7;X800000069;31AUG23;18:53:23
"mco";"dgf";"2023";"7";"2023/08/31 18:53:58";="800000069";Nombre RSA correctement chainés;68;2023.7;X800000069;31AUG23;18:53:23
"mco";"dgf";"2023";"7";"2023/08/31 18:53:58";="800000069";Nombre RSA groupés en CM 90;0;2023.7;X800000069;31AUG23;18:53:23
"mco";"dgf";"2023";"7";"2023/09/01 08:06:53";="020000071";Nombre RSA avec Diags avec antécédents de covid-19;20;2023.7;X020000071;01SEP23;8:06:20
"mco";"dgf";"2023";"7";"2023/09/01 08:06:53";="020000071";Nombre RSA correctement chainés;20;2023.7;X020000071;01SEP23;8:06:20
"mco";"dgf";"2023";"7";"2023/09/01 08:06:53";="020000071";Nombre RSA groupés en CM 90;0;2023.7;X020000071;01SEP23;8:06:20
"mco";"dgf";"2023";"7";"2023/09/01 09:18:57";="600100721";Nombre RSA avec Diags avec antécédents de covid-19;12;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 09:18:57";="600100721";Nombre RSA correctement chainés;12;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 09:18:57";="600100721";Nombre RSA groupés en CM 90;0;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 12:15:52";="620100057";Nombre RSA avec Diags avec antécédents de covid-19;12;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:15:52";="620100057";Nombre RSA correctement chainés;12;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:15:52";="620100057";Nombre RSA groupés en CM 90;0;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:21:41";="600101984";Nombre RSA avec Diags avec antécédents de covid-19;64;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:21:41";="600101984";Nombre RSA correctement chainés;63;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:21:41";="600101984";Nombre RSA groupés en CM 90;0;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 13:08:06";="800000028";Nombre RSA avec Diags avec antécédents de covid-19;1;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 13:08:06";="800000028";Nombre RSA correctement chainés;1;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 13:08:06";="800000028";Nombre RSA groupés en CM 90;0;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 14:02:57";="590783239";Nombre RSA avec Diags avec antécédents de covid-19;57;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 14:02:57";="590783239";Nombre RSA correctement chainés;57;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 14:02:57";="590783239";Nombre RSA groupés en CM 90;0;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 16:13:12";="590785374";Nombre RSA avec Diags avec antécédents de covid-19;0;2023.7;X590785374;01SEP23;16:12:38
"mco";"dgf";"2023";"7";"2023/09/01 16:13:12";="590785374";Nombre RSA correctement chainés;0;2023.7;X590785374;01SEP23;16:12:38
"mco";"dgf";"2023";"7";"2023/09/01 16:13:12";="590785374";Nombre RSA groupés en CM 90;0;2023.7;X590785374;01SEP23;16:12:38
