"champ";"statut";"annee";"periode";"date du resultat";"ipe";code_aff;mnt_tot;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9246518;23.7;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9247713;3.24;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9248428;11.4;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9250589;4.56;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9250649;54.44;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9255629;3.02;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9256540;4.01;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9258941;12.74;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9260033;5.32;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9263020;142.65;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9265208;2.4;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9265680;20.42;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9268572;28.2;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9272585;149.4;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9273722;32.97;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9275247;1.42;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9277795;5.93;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9278027;42.96;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9279268;2.77;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9279682;1.11;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9279707;4;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9279713;16.98;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9281288;2.36;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9285547;12.84;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9291536;96.88;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9293966;12.03;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9294581;155.7;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9295770;176.82;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9299101;43.2;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9301967;0.15;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9301973;8.01;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9303363;0.93;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9303653;9.36;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9304109;5.8;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9308515;1.08;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9308521;3.54;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9308538;9.6;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9309302;11.01;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9309466;1.44;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9309489;1.87;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9311121;12.78;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9311144;5.43;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9313700;9.05;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9313870;370.8;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9317626;0.16;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9319134;15.54;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9322219;26.58;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9322515;1.71;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9322685;32.17;2023.7;X620100057;22AUG23;9:33:11
