"champ";"statut";"annee";"periode";"date du resultat";"ipe";tum1;eff;nbchir;chirurg0;nbmutrf;nbdom;nbdc;nb0j;nbj;agem;type;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 09:28:21";="590782652";tot;6240;1894;1713;896;5244;100;3961;11185;60.31852608;2;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:48:36";="590780052";HP;927;0;0;0;927;0;927;0;48.910463862;1;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:36";="590780052";ZAUM;372;0;0;78;284;10;2;4609;68.422043011;1;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:36";="590780052";tot;1299;0;0;78;1211;10;929;4609;54.498075443;1;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:36";="590780052";HP;927;0;0;0;927;0;927;0;48.910463862;2;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:36";="590780052";ZAUM;372;0;0;78;284;10;2;4609;68.422043011;2;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:36";="590780052";tot;1299;0;0;78;1211;10;929;4609;54.498075443;2;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 10:19:19";="600100648";CA;551;297;297;3;548;0;526;32;47.355716878;1;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:19";="600100648";HP;753;0;0;2;751;0;565;189;53.799468792;1;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:19";="600100648";UHCD;1060;7;0;359;660;41;221;2326;61.056603774;1;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:19";="600100648";ZAUM;1083;287;121;264;781;38;31;6977;66.004616805;1;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:19";="600100648";tot;3447;591;418;628;2740;79;1343;9524;58.835799246;1;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:19";="600100648";CA;550;297;297;3;547;0;526;31;47.289090909;2;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:19";="600100648";HP;522;0;0;0;522;0;521;2;54.963601533;2;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:19";="600100648";UHCD;1060;7;0;359;660;41;221;2326;61.056603774;2;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:19";="600100648";ZAUM;1083;287;121;264;781;38;31;6977;66.004616805;2;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:19";="600100648";tot;3215;591;418;626;2510;79;1299;9336;59.378849145;2;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 13:05:10";="620000026";CA;2228;1612;1612;30;2198;0;2132;96;55.759806694;1;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:10";="620000026";HP;1751;8;8;17;1734;0;745;1006;52.731427051;1;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:10";="620000026";REA;63;8;1;51;10;2;1;1986;52.222222222;1;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:10";="620000026";ZAUM;3100;1775;1483;1053;2042;5;23;10344;56.755831198;1;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:10";="620000026";tot;7142;3403;3104;1151;5984;7;2901;13432;55.418461887;1;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:10";="620000026";CA;2134;1612;1612;30;2104;0;2132;2;55.919329576;2;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:10";="620000026";HP;744;8;8;9;735;0;744;0;50.982143909;2;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:10";="620000026";REA;63;8;1;51;10;2;1;1986;52.222222222;2;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:10";="620000026";ZAUM;3097;1775;1483;1053;2039;5;23;10341;56.756240462;2;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:10";="620000026";tot;6038;3403;3104;1143;4888;7;2900;12329;55.701662984;2;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:23:07";="590065223";tot;;;;;;;;;;1;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 13:23:07";="590065223";tot;;;;;;;;;;2;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 14:21:05";="620003350";HP;592;0;0;44;548;0;450;142;76.233108108;1;2023.7;X620003350;29AUG23;14:20:57
