"champ";"statut";"annee";"periode";"date du resultat";"ipe";libel;dp;eff_sej;eff_mon;dep;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 12:05:46";="620101337";AYBINTIO;C71;14;29.5;4638.277;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:46";="620101337";AYBINTIO;C79;13;24.15;3797.095;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:46";="620101337";AYBINTIO;C34;7;20.2;3176.043;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:46";="620101337";AYBINTIO;C57;6;13.05;2051.85;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:46";="620101337";AYBINTIO;C19;2;2;314.46;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:46";="620101337";AYBINTIO;P07;1;0.02;3.368;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:46";="620101337";BETAFACT;R31;1;12;7939.32;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:46";="620101337";CABAZITAXEL;C79;10;10;5105;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:46";="620101337";CABAZITAXEL;C61;1;1;510.5;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:46";="620101337";CAELYX;C56;2;6;2407.66;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:46";="620101337";CASPOFUNGINE;J15;1;19;450.47;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:46";="620101337";CASPOFUNGINE;L98;1;19;703.189;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:46";="620101337";CASPOFUNGINE;J96;1;16;381.559;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:46";="620101337";CASPOFUNGINE;U07;1;16;592.16;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:46";="620101337";CASPOFUNGINE;K80;1;3;82.95;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:46";="620101337";CASPOFUNGINE;R57;1;1;37.01;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:46";="620101337";CLAIRYG;G61;47;262;119315.631;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:46";="620101337";CLAIRYG;G70;3;56;31166.03;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:46";="620101337";CLAIRYG;D83;2;22;12354.098;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:46";="620101337";CLAIRYG;G04;1;15;2803.695;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:46";="620101337";CLAIRYG;G40;2;4;2246.2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:46";="620101337";CLOTTAFACT;R57;2;4;2542.28;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:46";="620101337";CLOTTAFACT;D62;1;2;1271.14;2023.7;X620101337;25AUG23;12:05:23
