"champ";"statut";"annee";"periode";"date du resultat";"ipe";date_fin;finessg;um;typ_um;mode_hospit;dateeffet;nblits_g;nbsupth;type;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 14:47:27";="800000077";;800000275;0001;29;C;01/01/1900;20;4240;2;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:27";="800000077";;800000275;0003;29;P;01/01/1900;5;1060;2;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/28 12:10:33";="590782645";;590000766;0001;27;C;01/01/1900;26;5512;2;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:33";="590782645";;590000766;0002;29;P;01/01/1900;4;848;2;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:51:52";="600100572";;600000152;0001;29;C;01/01/2005;2;424;2;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:52";="600100572";;600000152;0002;29;C;01/03/2020;2;424;2;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:52";="600100572";;600000152;0003;29;P;01/07/2015;20;4240;2;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:52";="600100572";;600000152;0004;29;C;01/01/2005;20;4240;2;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:45:03";="020004495";;020001087;0004;19;C;02/05/2015;5;1060;2;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:45:03";="020004495";;020001087;0005;27;C;01/07/2015;13;2756;2;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:45:03";="020004495";;020001087;0008;28;C;29/06/2014;1;212;2;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:45:03";="020004495";;020001087;0001;29;C;29/06/2014;1;212;2;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:45:03";="020004495";;020001087;0002;29;C;02/08/2011;12;2544;2;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:45:03";="020004495";;020001087;0003;29;C;01/01/2014;1;212;2;2023.7;X020004495;28AUG23;15:44:15
