"champ";"statut";"annee";"periode";"date du resultat";"ipe";let_ghm;adnp_11;adnp_10;adnp_21;adnp_20;adnp_v1;adnp_v0;adnp_x1;adnp_x0;Total_Dans;Total_Hors;Total;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/31 11:47:06";="590780193";Z;0;0;0;0;60;5435;0;0;60;5435;5495;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 12:25:12";="020004404";C;1;0;222;0;0;4;0;0;223;4;227;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:25:12";="020004404";K;0;0;101;0;3;1;0;0;104;1;105;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:25:12";="020004404";M;0;0;49;0;16;162;0;0;65;162;227;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:25:12";="020004404";Z;0;0;0;1;0;136;0;0;0;137;137;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 14:25:45";="590781605";C;3;0;255;0;0;3;0;0;258;3;261;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:25:45";="590781605";K;0;0;161;0;0;1;0;0;161;1;162;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:25:45";="590781605";M;1;0;156;0;0;175;0;0;157;175;332;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:25:45";="590781605";Z;0;0;0;0;0;2285;0;0;0;2285;2285;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:33:49";="800000093";C;0;0;28;0;0;1;0;0;28;1;29;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:33:49";="800000093";K;1;0;15;0;0;0;0;0;16;0;16;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:33:49";="800000093";M;0;0;112;0;0;51;0;0;112;51;163;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:33:49";="800000093";Z;0;0;0;0;0;82;0;0;0;82;82;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:52:23";="600100713";C;0;0;58;0;268;0;0;0;326;0;326;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:52:23";="600100713";K;0;0;12;0;63;4;0;0;75;4;79;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:52:23";="600100713";M;2;0;186;0;154;45;0;0;342;45;387;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:52:23";="600100713";Z;0;0;3;0;11;5968;0;0;14;5968;5982;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:59:36";="020000048";M;0;0;0;0;1;1;0;0;1;1;2;2023.7;X020000048;31AUG23;14:59:10
"mco";"dgf";"2023";"7";"2023/08/31 14:59:36";="020000048";Z;0;0;0;0;0;2;0;0;0;2;2;2023.7;X020000048;31AUG23;14:59:10
"mco";"dgf";"2023";"7";"2023/08/31 15:42:48";="590782215";C;0;0;533;3;8;19;0;0;541;22;563;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:42:48";="590782215";K;14;0;354;11;5;116;0;0;373;127;500;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:42:48";="590782215";M;17;0;648;0;2;495;0;0;667;495;1162;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:42:48";="590782215";Z;0;0;0;163;2;8175;0;0;2;8338;8340;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 16:58:31";="620100685";C;6;0;839;1;71;4;0;0;916;5;921;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 16:58:31";="620100685";K;2;0;168;6;16;85;0;0;186;91;277;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 16:58:31";="620100685";M;4;0;429;4;30;514;0;0;463;518;981;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 16:58:31";="620100685";Z;0;0;0;13;0;3797;0;0;0;3810;3810;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 18:53:49";="800000069";C;0;0;2;0;1;0;0;0;3;0;3;2023.7;X800000069;31AUG23;18:53:23
"mco";"dgf";"2023";"7";"2023/08/31 18:53:49";="800000069";K;0;0;56;0;6;2;0;0;62;2;64;2023.7;X800000069;31AUG23;18:53:23
"mco";"dgf";"2023";"7";"2023/08/31 18:53:49";="800000069";M;1;0;5;0;1;39;0;0;7;39;46;2023.7;X800000069;31AUG23;18:53:23
"mco";"dgf";"2023";"7";"2023/08/31 18:53:49";="800000069";Z;0;0;10;0;0;276;0;0;10;276;286;2023.7;X800000069;31AUG23;18:53:23
