"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;PU;nb;mnt_br;mnt_remb;nb_fides;mnt_br_fides;mnt_remb_fides;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 13:08:37";="620000026";SE3;45.74;5;221.45021;186.0181764;5;221.45021;186.0181764;2023.7;X620000026;29AUG23;13:08:26
"mco";"dgf";"2023";"7";"2023/08/29 13:08:37";="620000026";SE6;293.96;5;1426.4409;1369.383264;5;1426.4409;1369.383264;2023.7;X620000026;29AUG23;13:08:26
"mco";"dgf";"2023";"7";"2023/08/29 13:08:37";="620000026";SE6;309.75;18;5398.75665;4678.92243;17;5098.825725;4438.97769;2023.7;X620000026;29AUG23;13:08:26
"mco";"dgf";"2023";"7";"2023/08/29 14:32:43";="620003350";SE1;81.41;252;19910.11806;16812.988584;0;0;0;2023.7;X620003350;29AUG23;14:32:33
"mco";"dgf";"2023";"7";"2023/08/29 14:32:43";="620003350";SE1;85.78;519;43108.541706;36397.231167;0;0;0;2023.7;X620003350;29AUG23;14:32:33
"mco";"dgf";"2023";"7";"2023/08/29 14:46:27";="590781670";SE1;81.41;12;971.351556;809.45963;0;0;0;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:27";="590781670";SE1;85.78;26;2219.797684;1895.3657148;0;0;0;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:27";="590781670";SE2;68.64;4;273.269568;218.6156544;0;0;0;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:27";="590781670";SE4;21.7;19;409.94989;384.058318;0;0;0;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:27";="590781670";SE4;22.87;66;1502.325726;1393.0656732;0;0;0;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:27";="590781670";SE6;309.75;2;616.58835;554.929515;0;0;0;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 15:41:17";="590001749";SE1;81.41;332;26230.79046;22106.551719;0;0;0;2023.7;X590001749;29AUG23;15:40:58
