"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;mnt;mnt_am;mnt_br_fides;mnt_remb_fides;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 15:06:53";="590785374";INNOVATION;0;0;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:53";="590785374";URGENCE;0;0;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:52";="590782645";ATU;0;0;0;0;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:09:52";="590782645";FFM;0;0;0;0;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:09:52";="590782645";DIALYSE;0;0;0;0;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:09:52";="590782645";FTN;0;0;0;0;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:09:52";="590782645";CCAM;158529.44;118209.2975;158377.76;118077.8415;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:09:52";="590782645";SE;45.525022;36.4200176;0;0;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:09:52";="590782645";NGAP;77015;62600.95;77015;62600.95;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:09:52";="590782645";DMI;0;0;0;0;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:09:52";="590782645";MED;0;0;0;0;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:09:52";="590782645";INNOVATION;0;0;0;0;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:09:52";="590782645";URGENCE;0;0;0;0;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:52:24";="590782421";ATU;74859.716175;61812.815612;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:24";="590782421";FFM;0;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:24";="590782421";DIALYSE;0;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:24";="590782421";FTN;2533164.113;2533140.0017;2398695.534;2398671.4227;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:24";="590782421";CCAM;3089152.43;2735683.1192;2760336;2445842.6007;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:24";="590782421";SE;112462.60136;105140.21441;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:24";="590782421";NGAP;3824620.614;3325821.8289;3655845.954;3185067.846;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:24";="590782421";DMI;11270.16;11270.16;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:24";="590782421";MED;0;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:24";="590782421";INNOVATION;0;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:24";="590782421";URGENCE;2423938.39;2423938.3763;0;0;2023.7;X590782421;28AUG23;12:51:57
