"champ";"statut";"annee";"periode";"date du resultat";"ipe";lib;nb;mnt;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 14:40:15";="620101360";Séjours valorisés;15406;30984315.369;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:40:15";="620101360";Dont séjours en hospitalisation complète;8603;26132218.066;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:40:15";="620101360";Dont séjours sans nuitée;4504;3797363.3916;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:40:15";="620101360";Dont séjours séances;2299;1054733.911;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:56:42";="590781662";Séjours valorisés;5485;10126865.73;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 14:56:42";="590781662";Dont séjours en hospitalisation complète;2466;8657025.6873;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 14:56:42";="590781662";Dont séjours sans nuitée;596;573841.47598;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 14:56:42";="590781662";Dont séjours séances;2423;895998.56705;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 15:05:31";="590781621";Séjours valorisés;4244;6321423.4031;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:05:31";="590781621";Dont séjours en hospitalisation complète;1963;5272600.6431;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:05:31";="590781621";Dont séjours sans nuitée;2256;1038214.2764;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:05:31";="590781621";Dont séjours séances;25;10608.483522;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:20:10";="590052056";Séjours valorisés;9815;12779392.431;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:20:10";="590052056";Dont séjours en hospitalisation complète;2323;6540362.8143;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:20:10";="590052056";Dont séjours sans nuitée;5523;5401736.5769;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:20:10";="590052056";Dont séjours séances;1969;837293.03992;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 16:35:34";="590781795";Séjours valorisés;863;3189710.0532;2023.7;X590781795;30AUG23;16:33:32
"mco";"dgf";"2023";"7";"2023/08/30 16:35:34";="590781795";Dont séjours en hospitalisation complète;605;3057259.3798;2023.7;X590781795;30AUG23;16:33:32
"mco";"dgf";"2023";"7";"2023/08/30 16:35:34";="590781795";Dont séjours sans nuitée;258;132450.67346;2023.7;X590781795;30AUG23;16:33:32
"mco";"dgf";"2023";"7";"2023/08/30 16:35:34";="590781795";Dont séjours séances;0;0;2023.7;X590781795;30AUG23;16:33:32
"mco";"dgf";"2023";"7";"2023/08/31 09:37:35";="620100677";Séjours valorisés;3231;5308171.1534;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 09:37:35";="620100677";Dont séjours en hospitalisation complète;657;3804717.6455;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 09:37:35";="620100677";Dont séjours sans nuitée;2574;1503453.5079;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 09:37:35";="620100677";Dont séjours séances;0;0;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 10:38:42";="590781415";Séjours valorisés;32754;62433827.383;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:42";="590781415";Dont séjours en hospitalisation complète;13991;50624000.595;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:42";="590781415";Dont séjours sans nuitée;6744;6979645.0952;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:42";="590781415";Dont séjours séances;12019;4830181.6931;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:39:46";="620103440";Séjours valorisés;46095;64742182.66;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:39:46";="620103440";Dont séjours en hospitalisation complète;12959;47125652.484;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:39:46";="620103440";Dont séjours sans nuitée;8360;7841794.3126;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:39:46";="620103440";Dont séjours séances;24776;9774735.8636;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 11:14:32";="800000085";Séjours valorisés;1490;3950607.9522;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:14:32";="800000085";Dont séjours en hospitalisation complète;1034;3752149.0848;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:14:32";="800000085";Dont séjours sans nuitée;280;112690.68166;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:14:32";="800000085";Dont séjours séances;176;85768.185676;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:51:22";="590780193";Séjours valorisés;127305;313541279.77;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:22";="590780193";Dont séjours en hospitalisation complète;49661;259536261.67;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:22";="590780193";Dont séjours sans nuitée;44688;39577294.593;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:22";="590780193";Dont séjours séances;32956;14374988.373;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 12:26:20";="020004404";Séjours valorisés;8904;21307370.223;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:26:20";="020004404";Dont séjours en hospitalisation complète;4768;17458014.648;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:26:20";="020004404";Dont séjours sans nuitée;3575;3608395.4177;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:26:20";="020004404";Dont séjours séances;561;240960.15677;2023.7;X020004404;31AUG23;12:24:34
