"champ";"statut";"annee";"periode";"date du resultat";"ipe";desc_taux;COUNT;PERCENT;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/31 18:53:36";="800000069";4;1050;31.12033195;2023.7;X800000069;31AUG23;18:53:23
"mco";"dgf";"2023";"7";"2023/08/31 18:53:36";="800000069";8;1859;55.097806758;2023.7;X800000069;31AUG23;18:53:23
"mco";"dgf";"2023";"7";"2023/09/01 08:06:32";="020000071";1;1;0.4424778761;2023.7;X020000071;01SEP23;8:06:20
"mco";"dgf";"2023";"7";"2023/09/01 08:06:32";="020000071";2;2;0.8849557522;2023.7;X020000071;01SEP23;8:06:20
"mco";"dgf";"2023";"7";"2023/09/01 08:06:32";="020000071";4;79;34.955752212;2023.7;X020000071;01SEP23;8:06:20
"mco";"dgf";"2023";"7";"2023/09/01 08:06:32";="020000071";8;144;63.716814159;2023.7;X020000071;01SEP23;8:06:20
"mco";"dgf";"2023";"7";"2023/09/01 09:18:31";="600100721";1;1;0.004787667;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 09:18:31";="600100721";2;216;1.0341360655;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 09:18:31";="600100721";4;3339;15.986020012;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 09:18:31";="600100721";6;7;0.0335136688;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 09:18:31";="600100721";8;17324;82.941542586;2023.7;X600100721;01SEP23;9:18:13
