"champ";"statut";"annee";"periode";"date du resultat";"ipe";code1;nbfact;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/31 09:47:35";="590782215";HBMD0500;6;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:35";="590782215";HBMD0530;1;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:35";="590782215";HBMD0540;1;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:35";="590782215";HEQE0020;1;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:35";="590782215";JAKD0010;1;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:35";="590782215";JBQH0030;1;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:35";="590782215";JCGE0030;1;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:35";="590782215";JDLD0020;26;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:35";="590782215";JDQE0010;2;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:35";="590782215";LAQK0030;2;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:35";="590782215";LHLH0020;1;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:35";="590782215";MAQK0030;21;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:35";="590782215";MDQK0010;8;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:35";="590782215";MEEP0020;1;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:35";="590782215";MFQK0020;1;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:35";="590782215";MGQK0030;1;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:35";="590782215";MJFA0150;1;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:35";="590782215";NDQK0010;3;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:35";="590782215";NEQK0100;1;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:35";="590782215";NFEP0020;1;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:35";="590782215";NFQK0010;1;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:35";="590782215";QEJA0010;14;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:35";="590782215";QZFA0040;1;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:35";="590782215";QZFA0110;1;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:35";="590782215";QZFA0310;1;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:35";="590782215";QZFA0360;1;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:35";="590782215";QZHA0010;2;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:35";="590782215";QZRP0020;2;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:35";="590782215";QZRP0030;16;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:35";="590782215";QZRP0050;1;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:35";="590782215";YYYY1150;1;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:35";="590782215";YYYY4050;2;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:35";="590782215";YYYY4200;1;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:35";="590782215";YYYY6000;46;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:35";="590782215";ZBQK0020;8;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:35";="590782215";ZZQM0050;1;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 10:50:09";="590781415";HBFD0330;2;2023.7;X590781415;31AUG23;10:49:44
"mco";"dgf";"2023";"7";"2023/08/31 10:50:09";="590781415";HBGD0160;1;2023.7;X590781415;31AUG23;10:49:44
"mco";"dgf";"2023";"7";"2023/08/31 10:50:09";="590781415";HBLD3640;1;2023.7;X590781415;31AUG23;10:49:44
"mco";"dgf";"2023";"7";"2023/08/31 10:50:09";="590781415";HBMD0440;1;2023.7;X590781415;31AUG23;10:49:44
"mco";"dgf";"2023";"7";"2023/08/31 10:50:09";="590781415";HBMD0500;2;2023.7;X590781415;31AUG23;10:49:44
"mco";"dgf";"2023";"7";"2023/08/31 10:50:09";="590781415";HBMD0530;3;2023.7;X590781415;31AUG23;10:49:44
"mco";"dgf";"2023";"7";"2023/08/31 10:50:09";="590781415";HBMD0580;3;2023.7;X590781415;31AUG23;10:49:44
"mco";"dgf";"2023";"7";"2023/08/31 10:50:09";="590781415";MAQK0030;11;2023.7;X590781415;31AUG23;10:49:44
"mco";"dgf";"2023";"7";"2023/08/31 10:50:09";="590781415";MDQK0010;2;2023.7;X590781415;31AUG23;10:49:44
"mco";"dgf";"2023";"7";"2023/08/31 10:50:09";="590781415";MFQK0020;1;2023.7;X590781415;31AUG23;10:49:44
"mco";"dgf";"2023";"7";"2023/08/31 10:50:09";="590781415";MGQK0030;1;2023.7;X590781415;31AUG23;10:49:44
"mco";"dgf";"2023";"7";"2023/08/31 10:50:09";="590781415";NDQK0010;2;2023.7;X590781415;31AUG23;10:49:44
"mco";"dgf";"2023";"7";"2023/08/31 10:50:09";="590781415";QZHA0010;8;2023.7;X590781415;31AUG23;10:49:44
"mco";"dgf";"2023";"7";"2023/08/31 12:34:11";="020004404";FEJF0030;1;2023.7;X020004404;31AUG23;12:33:56
"mco";"dgf";"2023";"7";"2023/08/31 12:34:11";="020004404";HBFD0330;3;2023.7;X020004404;31AUG23;12:33:56
"mco";"dgf";"2023";"7";"2023/08/31 12:34:11";="020004404";HBMD0490;1;2023.7;X020004404;31AUG23;12:33:56
"mco";"dgf";"2023";"7";"2023/08/31 12:34:11";="020004404";HBQK3890;5;2023.7;X020004404;31AUG23;12:33:56
"mco";"dgf";"2023";"7";"2023/08/31 12:34:11";="020004404";NZLB0010;2;2023.7;X020004404;31AUG23;12:33:56
"mco";"dgf";"2023";"7";"2023/08/31 12:34:11";="020004404";YYYY6000;2;2023.7;X020004404;31AUG23;12:33:56
"mco";"dgf";"2023";"7";"2023/08/31 14:16:52";="590781795";MDQK0010;1;2023.7;X590781795;31AUG23;14:16:44
"mco";"dgf";"2023";"7";"2023/08/31 14:16:52";="590781795";NFQK0030;1;2023.7;X590781795;31AUG23;14:16:44
"mco";"dgf";"2023";"7";"2023/08/31 14:29:33";="590781811";HBFD0060;2;2023.7;X590781811;31AUG23;14:29:25
"mco";"dgf";"2023";"7";"2023/08/31 14:29:33";="590781811";HBFD0330;3;2023.7;X590781811;31AUG23;14:29:25
"mco";"dgf";"2023";"7";"2023/08/31 14:29:33";="590781811";HBGD0360;2;2023.7;X590781811;31AUG23;14:29:25
"mco";"dgf";"2023";"7";"2023/08/31 14:29:33";="590781811";HBGD0430;1;2023.7;X590781811;31AUG23;14:29:25
