"champ";"statut";"annee";"periode";"date du resultat";"ipe";modesh;COUNT;PERCENT;count2;percent2;evol;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 14:21:05";="620003350";01;5;0.1445922499;3;0.0858369099;68.449971082;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:05";="620003350";62;282;8.1550028918;218;6.2374821173;30.741904161;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:05";="620003350";71;250;7.2296124928;301;8.6123032904;-16.05483169;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:05";="620003350";72;20;0.5783689994;17;0.4864091559;18.90586194;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:05";="620003350";73;14;0.4048582996;19;0.5436337625;-25.52738121;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:05";="620003350";74;61;1.7640254482;53;1.5164520744;16.325829087;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:05";="620003350";76;1;0.02891845;;0;;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:05";="620003350";8;2519;72.845575477;2542;72.732474964;0.1555020821;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:05";="620003350";87;174;5.031810295;175;5.0071530758;0.4924398909;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:05";="620003350";9;132;3.8172353962;167;4.7782546495;-20.11234904;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:23:08";="590000600";62;58;5.9670781893;53;5.1108968177;16.752077025;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:08";="590000600";64;13;1.3374485597;19;1.8322082932;-27.00346545;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:08";="590000600";71;17;1.7489711934;26;2.5072324012;-30.24295663;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:08";="590000600";72;20;2.0576131687;15;1.4464802314;42.249657064;2023.7;X590000600;29AUG23;14:23:02
