"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;indication;dep23;dep23_aut;nb23;ecart;dep23_val;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400894389798;9438979;9438979;I000633;2481.17;2481.177;1;0.0035;2481.1735;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400894417286;9441728;9441728;I999999;1768.36;8218.044;47;3224.842;4993.202;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:38:31";="620003376";3400890003926;9000392;9000392;I000234;261.48;1009.124;2;373.822;635.302;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:31";="620003376";3400890020183;9002018;9002018;I000121;203.18;582.012;1;189.416;392.596;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:31";="620003376";3400892137377;9213737;9213737;I000284;7682.08;10257.492;76;1287.706;8969.786;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:31";="620003376";3400892137377;9213737;9213737;I000287;35378;47238.45;350;5930.225;41308.225;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:31";="620003376";3400892137377;9213737;9213737;I000288;4043.2;5398.68;40;677.74;4720.94;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:31";="620003376";3400892137377;9213737;9213737;I000290;19205.2;25643.73;190;3219.265;22424.465;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:31";="620003376";3400892137377;9213737;9213737;I000292;18396.56;24563.994;182;3083.717;21480.277;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:31";="620003376";3400892137377;9213737;9213737;I000293;5458.32;7288.218;54;914.949;6373.269;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:31";="620003376";3400893001813;9300181;9300181;I000268;26398.62;26398.926;102;0.153;26398.773;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:31";="620003376";3400893240526;9324052;9324052;I000079;1541.71;2450.4;12;454.345;1996.055;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:31";="620003376";3400893240526;9324052;9324052;I999999;2031.79;3267.2;16;617.705;2649.495;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:31";="620003376";3400893318799;9331879;9331879;I000310;3494.4;3494.361;13;-0.039;3494.361;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:31";="620003376";3400893318799;9331879;9331879;I999999;268.8;268.797;1;-0.003;268.797;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:31";="620003376";3400893318850;9331885;9331885;I000310;31717.81;31717.987;59;0.0885;31717.8985;2023.7;X620003376;25AUG23;10:37:19
