"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;indication;nb22a;dep22a;dep22_vala;nb22b;dep22b;dep22_valb;nbt22a;nbt22b;valo;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892714561;9271456;9271456;I999999;33;10068.463;10088.1815;33;10068.463;10088.1815;33;33;-1.81899E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892871967;9287196;9287196;I000242;221;270357.395;270887.7255;221;270357.395;270887.7255;221;221;-5.82077E-11;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892932163;9293216;9293216;I000241;7103;3428426.046;3435152.7235;7081;3417807.241;3424513.084;7103;7081;10639.6395;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892932163;9293216;9293216;I999999;22;10618.808;10639.641;22;10618.808;10639.641;22;22;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892933405;9293340;9293340;I000355;11;16480.453;14890.612;11;16480.453;14890.612;11;11;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892933405;9293340;9293340;I000356;6;8989.34;8122.152;6;8989.34;8122.152;6;6;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892935935;9293593;9293593;I000090;280;712675.928;714074.364;280;712675.928;714074.364;280;280;-1.16415E-10;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892992075;9299207;9299207;I000329;404;1397408.409;1400148.8005;404;1397408.409;1400148.8005;434;434;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892992075;9299207;9299207;I000330;1220;4219896.7;4228172.13;1218;4212978.837;4221240.7005;1220;1218;6931.4295;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892992075;9299207;9299207;I000563;58;200618.041;201011.4625;58;200618.041;201011.4625;58;58;0;2023.7;X590780193;05SEP23;14:08:27
