"champ";"statut";"annee";"periode";"date du resultat";"ipe";_NAME_;adnp_1;adnp_2;adnp_v;adnp_x;adnp_Total;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/01 14:03:01";="590783239";nb_sea_dis;1;14670;0;0;;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 18:27:27";="590000188";nb_sea_crit1;8;6;31;0;45;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/01 18:27:27";="590000188";nb_sea_crit2;0;0;213;0;213;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/01 18:27:27";="590000188";nb_sea_crit3;0;0;14;0;14;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/01 18:27:27";="590000188";nb_sea_crit4;0;0;35730;0;35730;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/01 18:27:27";="590000188";nb_sea_crit5;0;0;0;0;;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/01 18:27:27";="590000188";nb_sea_dis;8;6;35944;0;;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/04 15:54:37";="620103432";nb_sea_crit1;59;1589;4593;0;6241;2023.7;X620103432;04SEP23;15:53:55
"mco";"dgf";"2023";"7";"2023/09/04 15:54:37";="620103432";nb_sea_crit2;0;3;126;0;129;2023.7;X620103432;04SEP23;15:53:55
"mco";"dgf";"2023";"7";"2023/09/04 15:54:37";="620103432";nb_sea_crit3;5;0;108;0;113;2023.7;X620103432;04SEP23;15:53:55
"mco";"dgf";"2023";"7";"2023/09/04 15:54:37";="620103432";nb_sea_crit4;59;531;1826;0;2416;2023.7;X620103432;04SEP23;15:53:55
"mco";"dgf";"2023";"7";"2023/09/04 15:54:37";="620103432";nb_sea_crit5;0;0;0;0;;2023.7;X620103432;04SEP23;15:53:55
"mco";"dgf";"2023";"7";"2023/09/04 15:54:37";="620103432";nb_sea_dis;81;1805;5473;0;;2023.7;X620103432;04SEP23;15:53:55
"mco";"dgf";"2023";"7";"2023/09/05 12:09:56";="590781803";nb_sea_crit1;1;0;5248;0;5249;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 12:09:56";="590781803";nb_sea_crit2;0;0;180;0;180;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 12:09:56";="590781803";nb_sea_crit3;0;0;518;0;518;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 12:09:56";="590781803";nb_sea_crit4;0;0;2390;0;2390;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 12:09:56";="590781803";nb_sea_crit5;0;0;0;0;;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 12:09:56";="590781803";nb_sea_dis;1;0;7229;0;;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/07 20:01:25";="590781902";nb_sea_crit1;1;2841;1647;0;4489;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:01:25";="590781902";nb_sea_crit2;3;183;59;0;245;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:01:25";="590781902";nb_sea_crit3;0;121;40;0;161;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:01:25";="590781902";nb_sea_crit4;0;3314;1259;0;4573;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:01:25";="590781902";nb_sea_crit5;0;0;0;0;;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:01:25";="590781902";nb_sea_dis;4;6156;2818;0;;2023.7;X590781902;07SEP23;20:00:41
