"champ";"statut";"annee";"periode";"date du resultat";"ipe";_NAME_;COL1;COL2;COL3;COL4;COL5;COL6;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 12:05:29";="620101337";typsejb;3;8;-62.5;2;8;-75;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:29";="620101337";ghs9999;363;283;28.268551237;282;198;42.424242424;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:29";="620101337";nbrsaseance;2629;2771;-5.124503789;1887;2037;-7.36377025;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:29";="620101337";nbseances;2629;2771;-5.124503789;1887;2037;-7.36377025;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:29";="620101337";nbrsa0;5156;4614;11.746857391;3656;3360;8.8095238095;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:29";="620101337";nbjJT0;3378;3055;10.572831424;2340;2277;2.766798419;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:29";="620101337";nbrsah0;9558;10306;-7.257908015;6736;7451;-9.596027379;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:29";="620101337";nbjh0;54964;58677;-6.327862706;38004;42017;-9.550896066;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:29";="620101337";nbuhcd;2450;2181;12.333791839;1795;1724;4.1183294664;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:29";="620101337";nbabott;0;0;;0;0;;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 14:46:33";="800000077";per;1;2;3;1;2;3;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:33";="800000077";nbrsa;681;763;-10.74705111;503;560;-10.17857143;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:33";="800000077";cmd90;0;0;;0;0;;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:33";="800000077";hper;0;0;;0;0;;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:33";="800000077";typsejb;0;0;;0;0;;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:33";="800000077";ghs9999;4;0;;4;0;;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:33";="800000077";nbrsaseance;0;0;;0;0;;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:33";="800000077";nbseances;0;0;;0;0;;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:33";="800000077";nbrsa0;348;431;-19.2575406;253;311;-18.64951768;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:33";="800000077";nbjJT0;1;1;0;1;1;0;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:33";="800000077";nbrsah0;333;332;0.3012048193;250;249;0.4016064257;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:33";="800000077";nbjh0;3513;4115;-14.62940462;2541;3110;-18.29581994;2023.7;X800000077;25AUG23;14:46:27
