"champ";"statut";"annee";"periode";"date du resultat";"ipe";mois_e;semaine_e;ponder;dms;moy_age;med_age;pct_homme;pct_rea;pct_si;pct_sc;annee_e;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 16:13:58";="620100651";12;;9;18;74.666666667;77;33.333333333;11.111111111;11.111111111;22.222222222;2022;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:58";="620100651";1;;31;5.6774193548;66.709677419;71;54.838709677;3.2258064516;3.2258064516;0;2023;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:58";="620100651";2;;25;6.16;71.92;76;52;4;0;8;2023;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:58";="620100651";3;;21;4.0952380952;65.857142857;68;66.666666667;4.7619047619;14.285714286;9.5238095238;2023;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:58";="620100651";4;;19;3.6842105263;65.684210526;70;36.842105263;0;0;0;2023;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:58";="620100651";5;;16;8.625;68;72.5;56.25;6.25;0;6.25;2023;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:58";="620100651";6;;13;7.3076923077;74.230769231;75;46.153846154;0;15.384615385;7.6923076923;2023;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:58";="620100651";7;;8;2.125;66.25;66.5;75;0;0;0;2023;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:58";="620100651";99;;142;6.323943662;68.676056338;71;52.816901408;3.5211267606;4.9295774648;5.6338028169;9999;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:40:21";="620027839";99;;;;;0;;;;;9999;2023.7;X620027839;29AUG23;16:39:44
