"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;PU;tarif;coef_mco;coef_mco_ok;qte_pb;br_pb;pb_coef;pb_coef2;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 16:27:59";="620100651";D16;642.56;642.56;0.993;0.9953;0;0;0;32;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:27:59";="620100651";D23;261.36;244.42;0.993;0.9943;2;0;0;2;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:27:59";="620100651";D23;261.36;261.36;0.993;0.9953;0;0;0;22;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/30 08:07:06";="600100713";ATU;27.17;28.63;0.9943;0.9953;1;0;1;0;2023.7;X600100713;30AUG23;8:06:51
"mco";"dgf";"2023";"7";"2023/08/30 08:07:06";="600100713";FU1;27.53;29.78;1;1;1;0;0;0;2023.7;X600100713;30AUG23;8:06:51
"mco";"dgf";"2023";"7";"2023/08/30 08:07:06";="600100713";FU2;35.21;34.82;1;1;1;0;0;0;2023.7;X600100713;30AUG23;8:06:51
"mco";"dgf";"2023";"7";"2023/08/30 08:07:06";="600100713";SAS;24.56;24.78;1;1;2;0;0;0;2023.7;X600100713;30AUG23;8:06:51
"mco";"dgf";"2023";"7";"2023/08/30 08:07:06";="600100713";SB2;52.11;52.26;1;1;1;0;0;0;2023.7;X600100713;30AUG23;8:06:51
"mco";"dgf";"2023";"7";"2023/08/30 08:07:06";="600100713";SB3;54.27;54.86;1;1;1;0;0;0;2023.7;X600100713;30AUG23;8:06:51
"mco";"dgf";"2023";"7";"2023/08/30 08:07:06";="600100713";SIC;53.48;53.95;1;1;1;0;0;0;2023.7;X600100713;30AUG23;8:06:51
"mco";"dgf";"2023";"7";"2023/08/30 08:07:06";="600100713";SIM;33.99;34.29;1;1;1;0;0;0;2023.7;X600100713;30AUG23;8:06:51
"mco";"dgf";"2023";"7";"2023/08/30 08:07:06";="600100713";SSN;24.71;24.93;1;1;2;0;0;0;2023.7;X600100713;30AUG23;8:06:51
"mco";"dgf";"2023";"7";"2023/08/30 08:07:06";="600100713";SUM;12.66;12.52;1;1;1;0;0;0;2023.7;X600100713;30AUG23;8:06:51
"mco";"dgf";"2023";"7";"2023/08/30 08:07:06";="600100713";SUN;39.3;39.65;1;1;1;0;0;0;2023.7;X600100713;30AUG23;8:06:51
"mco";"dgf";"2023";"7";"2023/08/30 09:18:59";="590780284";FU1;27.53;29.78;0;1;1;0;0;0;2023.7;X590780284;30AUG23;9:18:49
"mco";"dgf";"2023";"7";"2023/08/30 09:18:59";="590780284";FU1;28.01;27.53;0;1;5;0;0;0;2023.7;X590780284;30AUG23;9:18:49
"mco";"dgf";"2023";"7";"2023/08/30 09:18:59";="590780284";FU2;35.21;34.82;0;1;1;0;0;0;2023.7;X590780284;30AUG23;9:18:49
"mco";"dgf";"2023";"7";"2023/08/30 09:18:59";="590780284";FU2;35.83;35.21;0;1;12;0;0;0;2023.7;X590780284;30AUG23;9:18:49
"mco";"dgf";"2023";"7";"2023/08/30 09:18:59";="590780284";FU3;41.84;41.11;0;1;9;0;0;0;2023.7;X590780284;30AUG23;9:18:49
"mco";"dgf";"2023";"7";"2023/08/30 09:18:59";="590780284";FU4;50.15;49.27;0;1;12;0;0;0;2023.7;X590780284;30AUG23;9:18:49
"mco";"dgf";"2023";"7";"2023/08/30 09:18:59";="590780284";PE1;10;27.33;0.9683;1;1;1;1;0;2023.7;X590780284;30AUG23;9:18:49
"mco";"dgf";"2023";"7";"2023/08/30 09:18:59";="590780284";PE2;10;12.52;0.9683;1;2;2;2;0;2023.7;X590780284;30AUG23;9:18:49
"mco";"dgf";"2023";"7";"2023/08/30 09:18:59";="590780284";SB2;66.15;52.11;0;1;3;0;0;0;2023.7;X590780284;30AUG23;9:18:49
"mco";"dgf";"2023";"7";"2023/08/30 09:18:59";="590780284";SB3;71.28;54.27;0;1;9;0;0;0;2023.7;X590780284;30AUG23;9:18:49
"mco";"dgf";"2023";"7";"2023/08/30 09:18:59";="590780284";SIC;57.01;53.48;0;1;3;0;0;0;2023.7;X590780284;30AUG23;9:18:49
"mco";"dgf";"2023";"7";"2023/08/30 09:18:59";="590780284";SIM;38.42;33.99;0;1;17;0;0;0;2023.7;X590780284;30AUG23;9:18:49
"mco";"dgf";"2023";"7";"2023/08/30 09:18:59";="590780284";SUF;10.6;10.42;0;1;520;0;0;0;2023.7;X590780284;30AUG23;9:18:49
