"champ";"statut";"annee";"periode";"date du resultat";"ipe";diagp1;N;nbj;pctj;nbsej;pctcum;code;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";G31;12;103;0.6663216457;6;78.308966231;G31;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";F01;9;102;0.6598525036;3;78.968818735;F01;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";C15;30;84;0.5434079441;23;79.512226679;C15;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";80%;1458;12291;;635;;;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";Tot;1896;15458;;821;;;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/22 15:00:25";="600100713";C78;21;574;5.8739255014;5;5.8739255014;C78;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:25";="600100713";T81;19;512;5.2394596807;17;11.113385182;T81;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:25";="600100713";C34;35;498;5.0961932051;21;16.209578387;C34;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:25";="600100713";I70;17;412;4.2161277118;14;20.425706099;I70;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:25";="600100713";J91;12;393;4.0216946377;5;24.447400737;J91;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:25";="600100713";C50;14;364;3.7249283668;10;28.172329104;C50;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:25";="600100713";F03;17;355;3.6328284896;13;31.805157593;F03;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:25";="600100713";C18;14;335;3.4281620958;7;35.233319689;C18;2022.11;X600100713;22DEC22;15:00:15
