"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghpcp;mpcp;mpca;ikmin;ikmax;N;nbseq;nbj;pctj;nbsej;nbsejc;dms;pctcum;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/29 12:11:11";="590782652";1487;13;00;70;80;179;175;369;2.3871134688;174;170;1.9823529412;53.674472765;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:11";="590782652";0476;05;00;70;80;51;50;282;1.8242980981;49;46;5.9347826087;55.498770863;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:11";="590782652";0430;04;11;40;40;13;6;277;1.7919523871;5;1;16;57.29072325;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:11";="590782652";2122;14;00;40;40;18;12;258;1.6690386855;11;;;58.959761936;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:11";="590782652";0376;04;01;10;20;73;66;255;1.6496312589;54;8;6.625;60.609393194;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:11";="590782652";1985;09;00;30;30;18;12;237;1.5331866994;10;2;20.5;62.142579894;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:11";="590782652";2127;14;01;30;30;13;6;218;1.4102729978;5;1;68;63.552852892;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:11";="590782652";0251;03;00;70;80;19;15;200;1.2938284383;12;8;15.125;64.84668133;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:11";="590782652";0369;04;00;10;20;55;51;192;1.2420753008;42;7;4.5714285714;66.088756631;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:11";="590782652";0401;04;06;50;50;13;7;187;1.2097295899;6;2;36;67.298486221;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:11";="590782652";0402;04;06;40;40;14;10;173;1.1191615992;9;1;61;68.41764782;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:11";="590782652";0877;08;00;60;60;13;9;167;1.080346746;8;2;37;69.497994566;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:11";="590782652";2775;03;00;50;50;13;10;159;1.0285936085;9;3;4;70.526588174;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:11";="590782652";2126;14;01;40;40;17;10;153;0.9897787553;7;1;21;71.51636693;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:11";="590782652";0410;04;07;30;30;27;25;127;0.8215810584;24;1;4;72.337947988;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:11";="590782652";0878;08;00;50;50;14;10;118;0.7633587786;10;4;8.75;73.101306767;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:11";="590782652";1144;10;00;70;80;21;21;107;0.6921982145;20;17;5.7058823529;73.793504981;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:11";="590782652";0411;04;07;10;20;40;37;98;0.6339759348;34;2;4.5;74.427480916;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:11";="590782652";2816;08;00;30;30;10;9;98;0.6339759348;9;5;9.4;75.061456851;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:11";="590782652";0409;04;07;40;40;18;17;96;0.6210376504;16;1;18;75.682494501;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:11";="590782652";0429;04;11;50;50;10;6;91;0.5886919394;4;;;76.271186441;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:11";="590782652";0646;06;09;40;40;4;1;91;0.5886919394;1;;;76.85987838;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:11";="590782652";2774;03;00;40;40;13;11;89;0.5757536551;11;3;7;77.435632035;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:11";="590782652";0879;08;00;40;40;14;12;89;0.5757536551;11;5;8.6;78.01138569;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:11";="590782652";1573;14;09;40;40;6;3;89;0.5757536551;3;;;78.587139345;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:11";="590782652";0883;08;01;50;50;9;5;83;0.5369388019;5;3;18;79.124078147;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:11";="590782652";1146;10;00;50;50;6;3;81;0.5240005175;3;;;79.648078665;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:11";="590782652";80%;;;10;80;1455;1113;12312;;;;;79.648078665;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:11";="590782652";Tous;;;10;100;1896;1469;15458;;821;488;7.6639344262;100;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/22 15:00:24";="600100713";0368;04;00;30;30;47;47;1735;17.75480966;47;8;45.625;17.75480966;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:24";="600100713";1011;09;00;60;60;26;26;790;8.0843225542;26;18;33;25.839132214;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:24";="600100713";0878;08;00;50;50;8;8;615;6.2934916087;8;4;53;32.132623823;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:24";="600100713";1976;07;04;10;20;121;121;531;5.4338927548;119;66;4.4848484848;37.566516578;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:24";="600100713";0369;04;00;10;20;26;26;495;5.065493246;26;12;4.8333333333;42.632009824;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:24";="600100713";0252;03;00;60;60;23;23;474;4.8505935325;23;21;21.666666667;47.482603357;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:24";="600100713";1975;07;04;30;30;29;29;355;3.6328284896;29;3;6.6666666667;51.115431846;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:24";="600100713";1012;09;00;50;50;15;15;325;3.3258288989;15;12;21.583333333;54.441260745;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:24";="600100713";0367;04;00;40;40;10;10;228;2.3331968891;10;1;56;56.774457634;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:24";="600100713";0375;04;01;30;30;13;13;205;2.0978305362;13;3;4.6666666667;58.87228817;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:24";="600100713";1013;09;00;40;40;9;9;185;1.8931641424;9;5;18.6;60.765452313;2022.11;X600100713;22DEC22;15:00:15
