"champ";"statut";"annee";"periode";"date du resultat";"ipe";mpcp;N;nbseq;nbj;pctj;ik;avqphysm;avqpsym;agem;mpcacodm;nbcim;nbsej;nbsejc;dms;pctcum;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2023/01/03 14:07:19";="800000028";01;2;1;41;0.5020203257;40;9;2;38;100;4;1;;;99.669401249;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:19";="800000028";13;2;1;15;0.1836659728;60;5;2;71;100;7;1;1;15;99.853067222;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:19";="800000028";15;1;1;11;0.1346883801;50;6;2;30;0;1;1;;;99.987755602;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:19";="800000028";18;1;1;1;0.0122443982;40;9;2;96;0;2;1;1;1;100;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:19";="800000028";99;552;313;8167;;50;10.071262397;3.2681523203;71.598628627;31.702898551;320;258;224;28.700892857;100;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2022/12/22 09:39:12";="800000036";04;176;123;1924;39.661925376;30;14.875259875;5.0358627859;81.989085239;61.486486486;65;59;48;24.666666667;39.661925376;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:12";="800000036";09;98;51;1519;31.313131313;50;6.9795918367;3.353522054;66.07965767;27.188940092;40;34;28;26.285714286;70.975056689;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:12";="800000036";03;39;31;308;6.3492063492;40;10.340909091;4.0064935065;73.311688312;70.454545455;49;27;18;12.055555556;77.324263039;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:12";="800000036";06;23;13;291;5.9987631416;40;14.87628866;6.0790378007;78.793814433;99.312714777;15;8;6;30;83.32302618;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:12";="800000036";08;38;31;267;5.5040197897;50;7.0936329588;3.5617977528;49.921348315;48.314606742;14;27;27;9.8888888889;88.82704597;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:12";="800000036";02;25;20;239;4.9268192125;40;12.514644351;3.4644351464;74.564853556;100;21;12;6;17.333333333;93.753865182;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:12";="800000036";14;9;4;165;3.4013605442;50;11.224242424;3.2363636364;80.515151515;100;8;4;;;97.155225727;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:12";="800000036";07;8;4;138;2.8447742733;50;4.1956521739;2;41.97826087;93.47826087;6;4;3;10.666666667;100;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:12";="800000036";99;416;277;4851;;40;11.142444857;4.2001649145;72.945578231;64.182692308;125;163;136;20;100;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 12:54:17";="800000069";09;147;71;2632;28.252468871;50;8.4988601824;2.48556231;60.264057751;37.689969605;174;57;41;38.975609756;28.252468871;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:17";="800000069";04;205;142;2259;24.248604551;30;14.2124834;5.0044267375;81.030544489;44.754316069;246;93;77;21.792207792;52.501073422;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:17";="800000069";06;144;80;2232;23.958780593;40;12.22983871;3.8978494624;73.555107527;93.727598566;116;33;21;64;76.459854015;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:17";="800000069";14;39;21;512;5.4959209961;40;13.3203125;2.740234375;74.775390625;46.484375;102;15;6;21.166666667;81.955775011;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:17";="800000069";02;34;22;403;4.3258909403;50;10.344913151;2.2903225806;40.734491315;95.781637717;83;19;14;25.428571429;86.281665951;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:17";="800000069";03;47;36;393;4.2185487334;50;10.053435115;2.4503816794;59.852417303;76.081424936;140;30;19;10.210526316;90.500214684;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:17";="800000069";07;24;18;259;2.7801631602;40;10.687258687;3.3513513514;72.698841699;99.613899614;32;6;4;41.25;93.280377845;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:17";="800000069";10;14;8;216;2.3185916702;50;9.5138888889;2;56.189814815;45.37037037;34;6;5;41.8;95.598969515;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:17";="800000069";08;19;14;155;1.6638042078;50;6.6709677419;2.935483871;82.690322581;41.290322581;48;14;6;12.5;97.262773723;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:17";="800000069";13;23;18;155;1.6638042078;50;9.6838709677;2.4838709677;71.064516129;81.935483871;26;10;;;98.92657793;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:17";="800000069";01;10;7;100;1.0734220696;40;7.96;2;58.74;77;20;2;1;37;100;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:17";="800000069";99;706;437;9316;;40;11.256547875;3.453842851;69.207063117;66.005665722;470;253;194;29.809278351;100;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/26 10:01:31";="800000077";04;88;45;1396;38.983524155;40;12.593839542;4.2020057307;77.790830946;35.171919771;40;40;36;28;38.983524155;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:31";="800000077";09;68;26;1283;35.827981011;50;7.3484021824;2.4699922058;71.018706157;39.906469213;27;25;20;44.35;74.811505166;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:31";="800000077";14;18;5;371;10.360234571;50;14.196765499;2.2614555256;75.778975741;100;10;5;4;92;85.171739738;2022.11;X800000077;26DEC22;10:01:24
